date,year,quarter,month,week_of_year,day_of_year,day_of_week,day,hour,supplier_price
2019-05-27 00:00:00+00:00,2019,2,5,22,147,0,27,0,949.9
2019-05-27 01:00:00+00:00,2019,2,5,22,147,0,27,1,942.2
2019-05-27 02:00:00+00:00,2019,2,5,22,147,0,27,2,952.14
2019-05-27 03:00:00+00:00,2019,2,5,22,147,0,27,3,944.93
2019-05-27 04:00:00+00:00,2019,2,5,22,147,0,27,4,966.0
2019-05-27 05:00:00+00:00,2019,2,5,22,147,0,27,5,994.74
2019-05-27 06:00:00+00:00,2019,2,5,22,147,0,27,6,1022.06
2019-05-27 07:00:00+00:00,2019,2,5,22,147,0,27,7,1023.21
2019-05-27 08:00:00+00:00,2019,2,5,22,147,0,27,8,1018.49
2019-05-27 09:00:00+00:00,2019,2,5,22,147,0,27,9,1019.45
2019-05-27 10:00:00+00:00,2019,2,5,22,147,0,27,10,996.84
2019-05-27 11:00:00+00:00,2019,2,5,22,147,0,27,11,1000.09
2019-05-27 12:00:00+00:00,2019,2,5,22,147,0,27,12,1019.1
2019-05-27 13:00:00+00:00,2019,2,5,22,147,0,27,13,1011.03
2019-05-27 14:00:00+00:00,2019,2,5,22,147,0,27,14,1008.73
2019-05-27 15:00:00+00:00,2019,2,5,22,147,0,27,15,1015.5
2019-05-27 16:00:00+00:00,2019,2,5,22,147,0,27,16,1018.25
2019-05-27 17:00:00+00:00,2019,2,5,22,147,0,27,17,1018.05
2019-05-27 18:00:00+00:00,2019,2,5,22,147,0,27,18,1016.32
2019-05-27 19:00:00+00:00,2019,2,5,22,147,0,27,19,1002.86
2019-05-27 20:00:00+00:00,2019,2,5,22,147,0,27,20,988.36
2019-05-27 21:00:00+00:00,2019,2,5,22,147,0,27,21,968.73
2019-05-27 22:00:00+00:00,2019,2,5,22,147,0,27,22,959.29
2019-05-27 23:00:00+00:00,2019,2,5,22,147,0,27,23,954.61
2019-05-28 00:00:00+00:00,2019,2,5,22,148,1,28,0,939.46
2019-05-28 01:00:00+00:00,2019,2,5,22,148,1,28,1,922.12
2019-05-28 02:00:00+00:00,2019,2,5,22,148,1,28,2,951.1
2019-05-28 03:00:00+00:00,2019,2,5,22,148,1,28,3,959.74
2019-05-28 04:00:00+00:00,2019,2,5,22,148,1,28,4,978.85
2019-05-28 05:00:00+00:00,2019,2,5,22,148,1,28,5,1012.07
